Status,Name,Region,Country,Continent,Site(ac),Area(sq ft),High(ft),Announcement,Groundbreaking,Groundbreakingby,Dedication,Dedicationby,Rms(1),Rms(2),Center(3),Food(4),Style,Designer
114Operating,The Hague Netherlands Temple edit,South Holland,Netherlands,Europe,2.7,10500,71,16 August 1999,26 August 2000,John K. Carmack,8 September 2002,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire",Albert van Eerde
115Operating,Brisbane Australia Temple edit,Queensland,Australia,Oceania,0.86,10700,71,"July 20, 1998","May 26, 2001",Kenneth Johnson,"June 15, 2003",Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire[2]","Phillips, Smith, Conwell"
116Operating,Redlands California Temple edit,California,United States,North America,4.6,17300,0,"April 21, 2001","December 1, 2001",Dieter F. Uchtdorf,"September 14, 2003",Gordon B. Hinckley,2,3,No,No,Smaller and remote area 3,Lloyd Platt & Associates with Higginson & Cartozian
117Operating,Accra Ghana Temple edit,Greater Accra,Ghana,Africa,6,17500,0,16 February 1998,16 November 2001,Russell M. Nelson,11 January 2004,Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3,ARUP
118Operating,Copenhagen Denmark Temple edit,Hovedstaden,Denmark,Europe,0.6,25000,0,17 March 1999,24 April 1999,Spencer J. Condie,23 May 2004,Gordon B. Hinckley,2,2,No,No,Existing building adapted,Arcito
119Operating,Manhattan New York Temple edit,New York,United States,North America,0.3,20630,0,"August 7, 2002","September 23, 2002",Gordon B. Hinckley,13 June 2004,Gordon B. Hinckley,2,2,No,No,Existing building adapted,Frank Fernandez
120Operating,San Antonio Texas Temple edit,Texas,United States,North America,5.5,16800,115,"June 24, 2001","March 29, 2003",H. Bruce Stucki,"May 22, 2005",Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3,"Rehler, Vaughn & Koone"
121Operating,Aba Nigeria Temple edit,Abia,Nigeria,Africa,6.3,11500,0,2 April 2000,23 February 2002,H. Bruce Stucki,7 August 2005,Gordon B. Hinckley,2,2,No,No,"Classic modern, single spire",Adeniyi Coker Consultants Limited
122Operating,Newport Beach California Temple edit,California,United States,North America,8.8,17800,90,"April 21, 2001","August 15, 2003",Duane B. Gerrard,"August 28, 2005",Gordon B. Hinckley,2,3,No,No,Smaller and remote area 3,Lloyd Platt and Allen Erekson
123Operating,Sacramento California Temple edit,California,United States,North America,46,19500,131,"April 21, 2001","August 22, 2004",Gordon B. Hinckley,"September 3, 2006",Gordon B. Hinckley,2,4,No,No,"Classic modern, single spire","Joseph Marty Architect, Brian Everett and Maury Maher"
124Operating,Helsinki Finland Temple edit,Uusimaa,Finland,Europe,7.4,16350,139,2 April 2000,29 March 2003,D. Lee Tobler,22 October 2006,Gordon B. Hinckley,2,2,No,No,Smaller and remote area 3,Evata Architects
125Operating,Rexburg Idaho Temple edit,Idaho,United States,North America,10,57504,169,"December 20, 2003","July 30, 2005",John H. Groberg,"February 10, 2008",Thomas S. Monson,4,5,No,Limited Vending,"Classic modern, single-spire design",Architectural Nexus; Bob Petroff
126Operating,Curitiba Brazil Temple edit,Paraná,Brazil,South America,8.15,27850,125,23 August 2002,10 March 2005,Russell M. Nelson,1 June 2008,Thomas S. Monson,2,2,No,No,"Classic modern, single-spire",Jeronimo da Cunha Lima and GSBS
127Operating,Panama City Panama Temple edit,Panamá,Panama,North America,6.96,18943,111,23 August 2002,30 October 2005,Spencer V. Jones,10 August 2008,Thomas S. Monson,2,2,No,No,"Classic modern, single spire",Mallol & Mallol and Naylor W. Lund
128Operating,Twin Falls Idaho Temple edit,Idaho,United States,North America,9.1,31245,159,"October 2, 2004","April 15, 2006",Neil L. Andersen,"August 24, 2008",Thomas S. Monson,2,3,No,No,"Classic modern, single-spire design","MHTN Architects, Inc"
129Operating,Draper Utah Temple edit,Utah,United States,North America,12,58300,168.67,"October 2, 2004","August 5, 2006",Gordon B. Hinckley,"March 20, 2009",Thomas S. Monson,4,5,No,No,"Classic modern, single-spire design",FFKR Architects
130Operating,Oquirrh Mountain Utah Temple edit,Utah,United States,North America,11,60000,183,"October 1, 2005","December 16, 2006",Gordon B. Hinckley,"August 23, 2009",Thomas S. Monson,4,6,No,No,"Classic modern, single-spire design",Naylor Wentworth
131Operating,Vancouver British Columbia Temple edit,British Columbia,Canada,North America,11.6,28165,0,25 May 2006,4 August 2007,Ronald A. Rasband,2 May 2010,Thomas S. Monson,2,2,No,No,"Classic modern, single-spire design",Abbarch Architecture and GSBS
132Operating,Gila Valley Arizona Temple edit,Arizona,United States,North America,17,18561,100,"April 26, 2008","February 14, 2009",Neil L. Andersen[6],"May 23, 2010",Thomas S. Monson,2,2,No,No,,Gregory B. Lambright
133Operating,Cebu City Philippines Temple edit,Central Visayas,Philippines,Asia,11.6,29556,140,"April 18, 2006","November 14, 2007",Dallin H. Oaks[7],"June 13, 2010",Thomas S. Monson,2,2,No,No,"Classic modern, single spire",Architectural Nexus and Recio & Casa Architects
134Operating,Kyiv Ukraine Temple edit,Kyiv,Ukraine,Europe,12.35,22184,137.8,20 July 1998,23 June 2007,Paul B. Pieper,29 August 2010,Thomas S. Monson[8],2,2,No,No,"Classic modern, single spire",MHTN and Strabag AG
135Operating,San Salvador El Salvador Temple edit,La Libertad,El Salvador,North America,6.5,27986,0,7 November 2007,20 September 2008,Don R. Clarke,21 August 2011,Henry B. Eyring,2,2,No,No,,
136Operating,Quetzaltenango Guatemala Temple edit,Quetzaltenango,Guatemala,North America,6.47,21085,0,17 December 2006,14 March 2009,Don R. Clarke,11 December 2011,Dieter F. Uchtdorf,2,2,,no,,Naylor Wentworth Lund Architects
137Operating,Kansas City Missouri Temple edit,Missouri,United States,North America,8.05,32000,0,"October 4, 2008","May 8, 2010",Ronald A. Rasband,"May 6, 2012",Thomas S. Monson,2,3,No,No,,
138Operating,Manaus Brazil Temple edit,Amazonas,Brazil,South America,7.7,32032,0,23 May 2007,20 June 2008,Charles A. Didier,10 June 2012,Dieter F. Uchtdorf[9],0,0,,,,
139Operating,Brigham City Utah Temple edit,Utah,United States,North America,3.14,36000,165,"October 3, 2009","July 31, 2010",Boyd K. Packer,"September 23, 2012",Boyd K. Packer,2,0,,No,"Classic modern, two-spire design",
140Operating,Calgary Alberta Temple edit,Alberta,Canada,North America,10.17,33000,115,4 October 2008,15 May 2010,Donald L. Hallstrom,28 October 2012,Thomas S. Monson,0,0,,,"Classic modern, single-spire design",
141Operating,Tegucigalpa Honduras Temple edit,Francisco Morazán,Honduras,North America,13.6,28254,0,9 June 2006,12 September 2009,Don R. Clarke,17 March 2013,Dieter F. Uchtdorf,0,0,,,"Classic modern, single spire",
142Operating,Gilbert Arizona Temple edit,Arizona,United States,North America,15.38,85326,195,"April 26, 2008","November 13, 2010",Claudio R. M. Costa,"March 2, 2014",Henry B. Eyring & Thomas S. Monson,3,7,No,No,Center spire,
143Operating,Fort Lauderdale Florida Temple edit,Florida,United States,North America,16.82,30500,100,"October 3, 2009","June 18, 2011",Walter F. González,"May 4, 2014",Dieter F. Uchtdorf,2,3,No,No,,
144Operating,Phoenix Arizona Temple edit,Arizona,United States,North America,5.19,64870,0,"May 24, 2008","June 4, 2011",Ronald A. Rasband,"November 16, 2014",Thomas S. Monson,2,0,No,,,
145Operating,Córdoba Argentina Temple edit,Córdoba,Argentina,South America,5.18,34369,0,4 October 2008,30 October 2010,Neil L. Andersen,17 May 2015,Dieter F. Uchtdorf,0,0,,,,
146Operating,Payson Utah Temple edit,Utah,United States,North America,10.63,96630,0,"January 25, 2010","October 8, 2011",Dallin H. Oaks,"June 7, 2015",Henry B. Eyring,0,0,,,,
147Operating,Trujillo Peru Temple edit,La Libertad,Peru,South America,8.9,28200,0,13 December 2008,14 September 2011,Rafael E. Pino,21 June 2015,Dieter F. Uchtdorf,0,0,,,,
148Operating,Indianapolis Indiana Temple edit,Indiana,United States,North America,18.11,34000,0,"October 2, 2010","September 29, 2012",Donald L. Hallstrom,"August 23, 2015",Henry B. Eyring,0,0,,,,
149Operating,Tijuana Mexico Templeedit,Baja California,Mexico,North America,9.4,33367,0,2 October 2010,18 August 2012,Benjamin de Hoyos,13 December 2015,Dieter F. Uchtdorf,0,0,,,,
150Operating,Provo City Center Temple edit,Utah,United States,North America,5.6,85084,150,"October 1, 2011","May 12, 2012",Jeffrey R. Holland,"March 20, 2016",Dallin H. Oaks,3,5,,,,
151Operating,Sapporo Japan Temple edit,Hokkaido,Japan,Asia,9.8,48480,0,3 October 2009,22 October 2011,Gary E. Stevenson,21 August 2016,Russell M. Nelson,0,0,,,,
152Operating,Philadelphia Pennsylvania Temple edit,Pennsylvania,United States,North America,1.6,61466,0,"October 4, 2008","September 17, 2011",Henry B. Eyring,"September 18, 2016",Henry B. Eyring[10],0,0,,,,
153Operating,Fort Collins Colorado Temple edit,Colorado,United States,North America,15.69,42000,112,"April 2, 2011","August 24, 2013",Ronald A. Rasband[11],"October 16, 2016",Dieter F. Uchtdorf,0,0,,,,
154Operating,Star Valley Wyoming Temple edit,Wyoming,United States,North America,43.6,18609,0,"October 1, 2011","April 25, 2015",Craig C. Christensen,"October 30, 2016",David A. Bednar,0,0,,,,
155Operating,Hartford Connecticut Temple edit,Connecticut,United States,North America,11.3,32246,30,"October 2, 2010","August 17, 2013",Thomas S. Monson[12],"November 20, 2016",Henry B. Eyring,0,0,,,,
156Operating,Paris France Temple edit,Île-de-France,France,Europe,2.26,44175,0,15 July 2011,No formal groundbreaking[13],,21 May 2017,Henry B. Eyring,0,0,,,,
157Operating,Tucson Arizona Temple edit,Arizona,United States,North America,7,38216,0,"October 6, 2012","October 17, 2015",Dieter F. Uchtdorf[14],"August 13, 2017",Dieter F. Uchtdorf[15],2,2,,,,
158Operating,Meridian Idaho Temple edit,Idaho,United States,North America,15.73,67331,0,"April 2, 2011","August 23, 2014",David A. Bednar,"November 19, 2017",Dieter F. Uchtdorf,0,0,,,,
159Operating,Cedar City Utah Temple edit,Utah,United States,North America,9.5,42657,260.5,"April 6, 2013","August 8, 2015[16][17]",L. Whitney Clayton[18],"December 10, 2017",Henry B. Eyring,0,0,No,No,,"Architectural Nexus, Salt Lake City, Utah"
160Operating,Concepción Chile Temple edit,Biobío,Chile,South America,4.06,23095,124,3 October 2009,17 October 2015,Walter F. González[19],28 October 2018,Russell M. Nelson,0,0,,,"Neoclassical, 1-spire[20]",
161Operating,Barranquilla Colombia Temple edit,Atlántico,Colombia,South America,6,24000,107,1 October 2011,20 February 2016[21],Juan A. Uceda,9 December 2018[22],Dallin H. Oaks,0,0,,,Republican (Neoclassic),
162Operating,Rome Italy Temple edit,Lazio,Italy,Europe,14.5,41010,0,4 October 2008,23 October 2010,Thomas S. Monson,10 March 2019,Russell M. Nelson,0,0,Yes,,"Classic modern, two-spire design",
163Operating,Kinshasa Democratic Republic of the Congo Templeedit,Kinshasa,Democratic Republic of the Congo,Africa,5,12000,0,1 October 2011,12 February 2016[23],Neil L. Andersen,14 April 2019,Dale G. Renlund,0,0,,,,
164Operating,Fortaleza Brazil Temple edit,Ceará,Brazil,South America,10,36000,0,3 October 2009,15 November 2011,David A. Bednar,2 June 2019,Ulisses Soares[24],0,0,,,,
165Operating,Port-au-Prince Haiti Temple edit,Ouest,Haiti,North America,2.75,10396,0,5 April 2015,28 October 2017,Walter F. González,1 September 2019,David A. Bednar,0,0,No,No,,
166Operating,Lisbon Portugal Temple edit,Lisboa,Portugal,Europe,4.6,23730,0,2 October 2010,5 December 2015[25],Patrick Kearon,15 September 2019,Neil L. Andersen,0,0,Yes,,,"Simão Silva, ACS Architects"
167Operating,Arequipa Peru Templeedit,Arequipa,Peru,South America,7.91,26969,0,6 October 2012,4 March 2017,Carlos A. Godoy,15 December 2019,Ulisses Soares,0,0,,,,
168Operating,Durban South Africa Temple edit,KwaZulu-Natal,South Africa,Africa,14.49,19860,97.4,1 October 2011,9 April 2016[26],Carl B. Cook,16 February 2020,Ronald A. Rasband,0,0,,,,
169Dedication scheduled,Winnipeg Manitoba Temple edit,Manitoba,Canada,North America,8,16100,105,"April 2, 2011","December 3, 2016",Larry Y. Wilson,31 October 2021,Gerrit W. Gong,0,0,,,,
170Dedication scheduled,Pocatello Idaho Templeedit,Idaho,United States,North America,10.94,71125,196.5,2 April 2017,16 March 2019,Wilford W. Andersen,7 November 2021,M. Russell Ballard,4,4,no,no,,
171Dedication postponed,Rio de Janeiro Brazil Templeedit,Rio de Janeiro,Brazil,South America,3.2,TBD,0,6 April 2013,4 March 2017,Claudio R. M. Costa,TBD[27],,0,0,,,,
172Under construction,Abidjan Ivory Coast Temple edit,Abidjan,Ivory Coast,Africa,0.93,TBD,0,5 April 2015,8 November 2018,Neil L. Andersen,,,0,0,,,,
173Under construction,Urdaneta Philippines Templeedit,Ilocos,Philippines,Asia,6.2,TBD,0,2 October 2010,16 January 2019,Jeffrey R. Holland,,,0,0,,,,
174Under construction,Bangkok Thailand Templeedit,Bangkok,Thailand,Asia,1.7,44405,0,5 April 2015,26 January 2019,Robert C. Gay,,,0,0,,,,
175Under construction,Yigo Guam Templeedit,Yigo,Guam,Oceania,5.46,6860,0,7 October 2018,4 May 2019,Yoon Hwan Choi,,,0,0,,,,
176Under construction,Praia Cabo Verde Templeedit,Praia,Cabo Verde,Africa,3.5,8759,0,7 October 2018,4 May 2019,Paul V. Johnson,,,0,0,,,,
177Under construction,San Juan Puerto Rico Templeedit,San Juan,Puerto Rico,North America,2.88,TBD,0,7 October 2018,4 May 2019,Walter F. González,,,0,0,,,,
178Under construction,Quito Ecuador Templeedit,Pichincha,Ecuador,South America,3.9,TBD,0,3 April 2016,11 May 2019,Enrique R. Falabella,,,0,0,,,,
179Under construction,Lima Peru Los Olivos Templeedit,Lima,Peru,South America,2.46,TBD,0,3 April 2016,8 June 2019,Enrique R. Falabella,,,0,0,,,,
180Under construction,Belém Brazil Templeedit,Pará,Brazil,South America,6.71,TBD,0,3 April 2016,17 August 2019,Marcos A. Aidukaitis[28],,,0,0,,,,
181Under construction,Saratoga Springs Utah Templeedit,Utah,United States,North America,22.7,87000,0,2 April 2017,19 October 2019,Craig C. Christensen,,,0,0,,,,
182Under construction,Puebla Mexico Templeedit,Puebla,Mexico,North America,6.85,30000,0,7 October 2018,30 November 2019,Arnulfo Valenzuela,,,0,0,,,,
183Under construction,Richmond Virginia Templeedit,Virginia,United States,North America,11.17,40531,0,1 April 2018,11 April 2020,Randall K. Bennett,,,0,0,,,,
184Under construction,Layton Utah Templeedit,Utah,United States,North America,11.87,87000,0,1 April 2018,23 May 2020,Craig C. Christensen,,,0,0,,,,
185Under construction,Alabang Philippines Templeedit,Metro Manila,Philippines,Asia,2.6,TBD,0,2 April 2017,4 June 2020[29],Evan A. Schmutz[30],,,0,0,,,,
186Under construction,Auckland New Zealand Templeedit,Auckland,New Zealand,Oceania,2.62,TBD,0,7 October 2018,13 June 2020,Ian S. Ardern,,,0,0,,,,
187Under construction,Feather River California Templeedit,California,United States,North America,9.4,38000,0,7 October 2018,18 July 2020,Paul H. Watkins,,,0,0,,,,
188Under construction,Orem Utah Templeedit,Utah,United States,North America,15.39,70000,0,5 October 2019,5 September 2020,Craig C. Christensen,,,0,0,,,,
189Under construction,San Pedro Sula Honduras Templeedit,Cortés,Honduras,North America,8.56,30000,0,7 April 2019,5 September 2020,José Hernández[31],,,0,0,,,,
190Under construction,Brasília Brazil Templeedit,Federal District,Brazil,South America,6,25000,0,2 April 2017,26 September 2020,Adilson de Paula Parrella,,,0,0,,,,
191Under construction,Moses Lake Washington Templeedit,Washington,United States,North America,17,20000,0,7 April 2019,10 October 2020,David L. Stapleton,,,0,0,,,,
192Under construction,Taylorsville Utah Templeedit,Utah,United States,North America,7.5,70460,0,5 October 2019,31 October 2020,Gerrit W. Gong,,,0,0,,,,
193Under construction,Salta Argentina Templeedit,Salta,Argentina,South America,17.4,TBD,0,1 April 2018,4 November 2020,Benjamin De Hoyos,,,0,0,,,,
194Under construction,Bentonville Arkansas Templeedit,Arkansas,United States,North America,8.8,25000,0,5 October 2019,7 November 2020,David A. Bednar,,,0,0,,,,
195Under construction,Red Cliffs Utah Templeedit,Utah,United States,North America,14.7,96277,0,7 October 2018,7 November 2020,Jeffrey R. Holland,,,0,0,,,,
196Under construction,Davao Philippines Templeedit,Davao,Philippines,Asia,2.7,18450,0,7 October 2018,14 November 2020,Taniela B. Wakolo,,,0,0,,,,
197Under construction,Cobán Guatemala Templeedit,Alta Verapaz,Guatemala,North America,5.4,8800,0,5 October 2019,14 November 2020,Brian K. Taylor,,,0,0,,,,
198Under construction,McAllen Texas Templeedit,Texas,United States,North America,10.6,29732,0,5 October 2019,21 November 2020,Art Rascon,,,0,0,,,,
199Under construction,Antofagasta Chile Templeedit,Antofagasta,Chile,South America,2.2,23000,0,7 April 2019,27 November 2020,Juan Pablo Villar,,,0,0,,,,
200Under construction,Bengaluru India Templeedit,Karnataka,India,Asia,1.62,40000,0,1 April 2018,2 December 2020,Robert K. William,,,0,0,,,,
201Under construction,Okinawa Japan Templeedit,Okinawa,Japan,Asia,0.5,10000,0,7 April 2019,5 December 2020,Takashi Wada,,,0,0,,,,
202Under construction,Harare Zimbabwe Temple edit,Harare,Zimbabwe,Africa,6.7,17250,0,3 April 2016,12 December 2020,Edward Dube,,,0,0,,,,
203Under construction,Mendoza Argentina Templeedit,Mendoza,Argentina,South America,15,21000,0,7 October 2018,17 December 2020[32],Allen D. Haynie,,,0,0,,,,
204Under construction,Deseret Peak Utah Templeedit,Utah,United States,North America,17,70000,0,7 April 2019,15 May 2021[33],Brook P. Hales,,,0,0,,,,
205Under construction,Tallahassee Florida Templeedit,Florida,United States,North America,4.97,29000,0,5 April 2020,5 June 2021[34],James B. Martino,,,0,0,,,,
206Under construction,Syracuse Utah Templeedit,Utah,United States,North America,12.27,88886,0,5 April 2020,12 June 2021[35],Kevin R. Duncan,,,0,0,,,,
207Under construction,Helena Montana Templeedit,Montana,United States,North America,4.8,10000,0,4 April 2021,26 June 2021,Vern P. Stanfill,,,0,0,,,,
208Under construction,Salvador Brazil Templeedit,Bahia,Brazil,South America,4.85,TBD,0,7 October 2018,7 August 2021,Adilson de Paula Parrella,,,0,0,,,,
209Under construction,Pittsburgh Pennsylvania Templeedit,Pennsylvania,United States,North America,5.8,32000,0,5 April 2020,21 August 2021,Randall K. Bennett,,,0,0,,,,
210Under construction,Neiafu Tonga Templeedit,Vavaʻu,Tonga,Oceania,4.81,17000,75,7 April 2019,11 September 2021,‘Inoke F. Kupu,,,2,1,,,,
211Under construction,Nairobi Kenya Templeedit,Nairobi,Kenya,Africa,3.7,TBD,0,2 April 2017,11 September 2021,Joseph W. Sitati,,,0,0,,,,
212Under construction,Phnom Penh Cambodia Templeedit,Phnom Penh,Cambodia,Asia,3.16,10000,0,7 October 2018,18 September 2021,Veasna Kuonno Neang,,,0,0,,,,
213Under construction,Casper Wyoming Templeedit,Wyoming,United States,North America,9.5,10000,0,4 April 2021,9 October 2021,S. Gifford Nielsen,,,0,0,,,,
214Groundbreaking scheduled,Pago Pago American Samoa Templeedit,Western District,American Samoa,Oceania,1.71,17000,0,7 April 2019,30 October 2021,K. Brett Nattress,,,0,0,,,,
215Groundbreaking scheduled,Bacolod Philippines Templeedit,Western Visayas,Philippines,Asia,12.3,26700,0,5 October 2019,11 December 2021,Taniela B. Wakolo,,,0,0,,,,
216Site announced,Port Moresby Papua New Guinea Templeedit,National Capital District,Papua New Guinea,Oceania,4.45,9550,0,5 October 2019,,,,,0,0,,,,
217Site announced,Lindon Utah Templeedit,Utah,United States,North America,14,81000,0,4 October 2020,,,,,0,0,,,,
218Site announced,Port Vila Vanuatu Templeedit,Shefa,Vanuatu,Oceania,1.62,10000,0,4 October 2020,,,,,0,0,,,,
219Site announced,Tarawa Kiribati Templeedit,Tarawa,Kiribati,Oceania,0.8,10000,0,4 October 2020,,,,,0,0,,,,
220Site announced,Elko Nevada Templeedit,Nevada,United States,North America,5.2,10000,0,4 April 2021,,,,,0,0,,,,
221Site announced,Smithfield Utah Templeedit,Utah,United States,North America,13.3,81000,0,4 April 2021,,,,,0,0,,,,
222Site announced,Farmington New Mexico Templeedit,New Mexico,United States,North America,6.62,25000,0,4 April 2021,,,,,0,0,,,,
223Site announced,Grand Junction Colorado Templeedit,Colorado,United States,North America,6.94,25000,0,4 April 2021,,,,,0,0,,,,
224Site announced,Burley Idaho Templeedit,Idaho,United States,North America,10.1,38600,0,4 April 2021,,,,,0,0,,,,
225Site announced,Yorba Linda California Templeedit,California,United States,North America,5.4,30000,0,4 April 2021,,,,,0,0,,,,
226Site announced,Willamette Valley Oregon Templeedit,Oregon,United States,North America,10.5,30000,0,4 April 2021,,,,,0,0,,,,
227Site announced,Belo Horizonte Brazil Templeedit,Minas Gerais,Brazil,South America,11.8,27000,0,4 April 2021,,,,,0,0,,,,
228Site announced,Cali Colombia Templeedit,Valle del Cauca,Colombia,South America,3.14,9500,0,4 April 2021,,,,,0,0,,,,
229Site announced,Greater Guatemala City Guatemala Templeedit,Guatemala,Guatemala,North America,1.5,30000,0,4 October 2020,,,,,0,0,,,,
230Site announced,Torreón Mexico Templeedit,Durango,Mexico,North America,0.89,10000,0,4 April 2021,,,,,0,0,,,,
231Site announced,Ephraim Utah Templeedit,Utah,United States,North America,9.16,39000,0,1 May 2021,,,,,0,0,,,,
232Announced,Managua Nicaragua Templeedit,Managua,Nicaragua,North America,0,,0,1 April 2018,,,,,0,0,,,,
233Announced,Cagayan de Oro Philippines Templeedit,Northern Mindanao,Philippines,Asia,0,,0,1 April 2018,,,,,0,0,,,,
234Announced,Russia Templeedit,,Russia,Eurasia,0,,0,1 April 2018,,,,,0,0,,,,
235Announced,Lagos Nigeria Templeedit,Lagos,Nigeria,Africa,0,,0,7 October 2018,,,,,0,0,,,,
236Announced,Budapest Hungary Templeedit,Budapest,Hungary,Europe,0,,0,7 April 2019,,,,,0,0,,,,
237Announced,Freetown Sierra Leone Templeedit,Western,Sierra Leone,Africa,0,,0,5 October 2019,,,,,0,0,,,,
238Announced,Bahía Blanca Argentina Templeedit,Buenos Aires,Argentina,South America,0,,0,5 April 2020,,,,,0,0,,,,
239Announced,Lubumbashi Democratic Republic of the Congo Templeedit,Haut-Katanga,Democratic Republic of the Congo,Africa,0,,0,5 April 2020,,,,,0,0,,,,
240Announced,Benin City Nigeria Templeedit,Edo,Nigeria,Africa,0,,0,5 April 2020,,,,,0,0,,,,
241Announced,Dubai United Arab Emirates Templeedit,Dubai,United Arab Emirates,Asia,0,,0,5 April 2020,,,,,0,0,,,,
242Announced,Shanghai People's Republic of China Templeedit,Shanghai,China,Asia,0,,0,5 April 2020,,,,,0,0,,,,
243Announced,São Paulo East Brazil Templeedit,São Paulo,Brazil,South America,0,,0,4 October 2020,,,,,0,0,,,,
244Announced,Santa Cruz Bolivia Templeedit,Santa Cruz,Bolivia,South America,0,,0,4 October 2020,,,,,0,0,,,,
245Announced,Oslo Norway Templeedit,Oslo,Norway,Europe,0,,0,4 April 2021,,,,,0,0,,,,
246Announced,Brussels Belgium Templeedit,Brussels,Belgium,Europe,0,,0,4 April 2021,,,,,0,0,,,,
247Announced,Vienna Austria Templeedit,Vienna,Austria,Europe,0,,0,4 April 2021,,,,,0,0,,,,
248Announced,Kumasi Ghana Templeedit,Ashanti,Ghana,Africa,0,,0,4 April 2021,,,,,0,0,,,,
249Announced,Beira Mozambique Templeedit,Sofala,Mozambique,Africa,0,,0,4 April 2021,,,,,0,0,,,,
250Announced,Cape Town South Africa Templeedit,Western Cape,South Africa,Africa,0,,0,4 April 2021,,,,,0,0,,,,
251Announced,Singapore Republic of Singapore Templeedit,Singapore,Singapore,Asia,0,,0,4 April 2021,,,,,0,0,,,,
252Announced,Querétaro Mexico Templeedit,Querétaro,Mexico,North America,0,,0,4 April 2021,,,,,0,0,,,,
253Announced,Kaohsiung Taiwan Templeedit,Kaohsiung,Taiwan,Asia,0,,0,3 October 2021,,,,,0,0,,,,
254Announced,Tacloban City Philippines Templeedit,Eastern Visayas,Philippines,Asia,0,,0,3 October 2021,,,,,0,0,,,,
255Announced,Monrovia Liberia Templeedit,Montserrado,Liberia,Africa,0,,0,3 October 2021,,,,,0,0,,,,
256Announced,Kananga Democratic Republic of the Congo Templeedit,Kasaï-Central,Democratic Republic of the Congo,Africa,0,,0,3 October 2021,,,,,0,0,,,,
257Announced,Antananarivo Madagascar Templeedit,Analamanga,Madagascar,Africa,0,,0,3 October 2021,,,,,0,0,,,,
258Announced,Culiacán Mexico Templeedit,Sinaloa,Mexico,North America,0,,0,3 October 2021,,,,,0,0,,,,
259Announced,Vitória Brazil Templeedit,Espírito Santo,Brazil,South America,0,,0,3 October 2021,,,,,0,0,,,,
260Announced,La Paz Bolivia Templeedit,La Paz,Bolivia,South America,0,,0,3 October 2021,,,,,0,0,,,,
261Announced,Santiago West Chile Templeedit,Santiago,Chile,South America,0,,0,3 October 2021,,,,,0,0,,,,
262Announced,Fort Worth Texas Templeedit,Texas,United States,North America,0,,0,3 October 2021,,,,,0,0,,,,
263Announced,Cody Wyoming Templeedit,Wyoming,United States,North America,0,,0,3 October 2021,,,,,0,0,,,,
264Announced,Rexburg North Idaho Templeedit,Idaho,United States,North America,0,,0,3 October 2021,,,,,0,0,,,,
265Announced,Heber Valley Utah Templeedit,Utah,United States,North America,0,,0,3 October 2021,,,,,0,0,,,,
Efforts halted in 1830s,Independence / New Jerusalemedit,Missouri,United States,North America,0,,0,April 1829,August 1831,"Joseph Smith, Jr. (land dedicated)",,,0,0,(Community of Christ)(LDS Church),,,
Historic site,Kirtland Temple edit,Ohio,United States,North America,5.8,15000,0,"December 27, 1832","June 5, 1833",,"March 27, 1836",Joseph Smith,0,0,,,Georgian and Colonial,
Efforts halted in 1830s,Far Westedit,Missouri,United States,North America,640,,0,"April 16, 1838","July 4, 1838",Quorum of the Twelve,,,0,0,,,,
Efforts halted in 1830s,Adam-ondi-Ahmanedit,Missouri,United States,North America,3000,,0,"April 26, 1838",October 1838,Joseph Smith,,,0,0,No,,,
Destroyed,Nauvoo Temple edit,Illinois,United States,North America,0,54000,0,August 1840,"February 18, 1841",,"May 1, 1846",Orson Hyde,0,0,Yes,,,William Weeks
Destroyed,Apia Samoa Temple (original) edit,Tuamasaga,Samoa,Oceania,2,14560,78,"July 2, 1980","February 19, 1981",Spencer W. Kimball,"August 5, 1983",Gordon B. Hinckley,0,0,,,,Emil B. Fetzer
Efforts suspended in 2006,Harrison New Yorkedit,New York,United States,North America,24,28400,0,"September 30, 1995",,,,,0,0,,,,
